time,latitude,longitude,speed,miles,miles_lap,rtc,millis,rpm,input_voltage,motor_watt_hours,motor_tempMosfet,motor_tempMotor,motor_current,battery_current,motor_dutyCycle,motor_error,rasp_temp,battery_ampere,battery_voltage,charge,battery_temperature,autonomy
14:50:28.524, , ,-1,0,0, ,136323,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:28.778, , ,-1,0,0, ,136535,0.00,91.50,0.00,11.60,7.40,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:29.039, , ,-1,0,0, ,136923,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:29.298, , ,-1,0,0, ,136923,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:29.543, , ,-1,0,0, ,137322,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:29.799, , ,-1,0,0, ,137322,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:30.051, , ,-1,0,0, ,137722,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:30.306, , ,-1,0,0, ,138123,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:30.563, , ,-1,0,0, ,138330,0.00,91.50,0.00,11.60,7.60,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:30.817, , ,-1,0,0, ,138330,0.00,91.50,0.00,11.60,7.60,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:31.075, , ,-1,0,0, ,138722,0.00,91.50,0.00,11.60,7.40,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:31.327, , ,-1,0,0, ,139122,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:31.598, , ,-1,0,0, ,139339,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:31.862, , ,-1,0,0, ,139722,0.00,91.50,0.00,11.60,7.40,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:32.111, , ,-1,0,0, ,139937,0.00,91.50,0.00,11.60,7.40,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:32.368, , ,-1,0,0, ,139937,0.00,91.50,0.00,11.60,7.40,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:32.625, , ,-1,0,0, ,140322,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:32.875, , ,-1,0,0, ,140535,0.00,91.50,0.00,11.60,7.40,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:33.133, , ,-1,0,0, ,140922,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
